block_group,UFP_mean,asian_non_his,hispanic_any_race,black_non_hisp,two_or_more_race,white_non_his,american_indian,house_less20k,house_20_35k,house_35_50k,house_50_75k,house_more_75,education_less_highschool,education_highschool,education_some_college,education_college_degree,education_graduate,age_less_5_male,age_5_17_male,age_18_65_male,age_more_65_male,age_less_5_female,age_5_17_female,age_18_65_female,age_more_65_female,pm25,no2
420033001002,10767.882992996254,254,35,297,32,33,0,83,9,16,0,61,74,167,34,17,17,87,31,143,17,27,72,274,0,10.8838251984127,11.4763924603175
420030705002,11992.336760208806,72,62,46,20,747,0,133,49,88,122,117,0,34,30,238,261,10,0,414,14,13,0,496,0,11.5489366022099,12.1554932320442
420031303001,12909.10065763193,0,25,323,34,17,0,73,36,25,27,21,30,74,122,19,15,0,35,90,49,0,60,116,62,11.2115246537396,10.6727058171745
420031807001,12576.384525371663,0,48,37,0,565,0,24,106,24,101,72,16,166,61,156,84,10,9,307,48,0,0,241,35,10.5215682258065,11.8309901612903
420031517001,13925.60398717773,24,89,0,38,943,0,31,26,96,152,137,0,35,230,210,293,54,0,443,59,71,47,340,80,10.9115408798283,11.7641160944206
420032022001,10369.621004408124,0,0,573,70,910,0,170,57,116,163,126,86,272,318,186,41,107,187,402,54,63,190,456,94,10.2482540074906,9.42699382771536
420032815002,10410.224245816069,16,15,70,5,789,0,61,39,104,159,40,29,163,267,104,41,16,118,268,36,41,39,306,83,10.1722307403545,9.5839417101147
420033001001,10820.883677484875,0,0,288,8,124,0,31,7,71,11,37,31,171,18,19,52,0,64,176,0,0,65,100,15,10.630146898263,11.4442915632754
420031102001,10749.016157348738,55,4,52,0,623,0,64,46,74,111,165,27,107,85,164,259,4,0,187,53,51,37,335,67,10.253992450495,10.0457908663366
420032904001,10588.563180371706,0,28,107,33,397,9,43,31,20,75,94,39,139,149,71,51,4,87,195,44,0,10,190,44,10.7592150259067,10.0123792055268
420032904002,12114.375585199794,32,52,212,13,808,0,184,81,95,71,55,66,319,224,120,24,45,113,349,32,81,83,352,72,10.6744274463007,9.4704938743039
420032904005,11887.858765816245,0,0,222,0,412,0,101,44,31,51,40,111,131,128,36,9,0,89,136,58,0,68,233,50,10.5982965571205,9.7180327543036
420033001003,11322.771892128369,0,23,451,0,115,0,181,65,15,52,22,46,197,171,22,0,0,31,128,44,8,99,250,44,11.0760008610086,11.2187167281673
420033102003,12400.880604260541,0,0,0,0,628,0,37,38,27,70,61,92,226,88,56,0,15,40,190,32,11,25,261,72,11.0351622018349,8.84643177981651
420033102004,10729.054920033748,0,223,0,0,699,0,62,34,56,101,99,43,239,182,150,22,38,96,264,41,79,48,242,113,10.4834081944444,8.14299416666667
420033102005,10423.716416764853,0,25,0,0,698,0,51,71,72,33,93,7,266,164,92,26,0,35,297,57,37,42,182,54,10.4561468217054,8.62092204651163
420031106001,10172.581966841657,0,12,83,11,751,0,127,35,33,21,174,52,104,80,201,227,8,51,295,42,87,27,301,46,10.5541494117647,10.1550557894737
420031920005,10423.093516681873,10,39,32,29,495,9,48,69,35,75,65,33,249,77,83,37,0,133,196,55,0,21,229,41,10.7441573795181,10.6896924698795
420030404002,14278.886292963256,356,24,103,15,988,0,309,172,80,158,171,10,49,129,331,446,0,0,440,237,0,16,405,285,10.9699529157667,12.5321767818575
420031915001,17628.874442228484,20,16,69,0,602,0,60,62,62,89,54,20,161,118,122,64,0,25,300,52,24,15,247,16,11.1657827941176,11.1737016176471
420031916001,12755.732814064073,108,184,69,13,724,0,42,107,111,51,116,87,233,222,107,64,44,97,408,74,50,13,359,53,9.94636665445665,10.4289873504274
420039803001,10498.448364797852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94948,9.97567
420031014002,10677.375308454966,0,50,47,0,562,0,74,25,34,48,123,31,187,80,105,69,0,79,174,53,51,0,212,90,10.370383880597,10.1083654477612
420031918003,10092.518916979263,82,1,0,60,791,0,42,142,19,44,122,68,220,100,157,99,20,172,214,78,18,30,332,70,10.7349663366337,10.0488716265912
420035630002,11946.95371405455,0,48,367,0,262,0,52,25,59,109,58,40,206,152,26,44,35,37,191,50,7,48,218,90,10.6562455099338,9.88175009271523
420032704001,11143.844150380783,0,48,349,45,554,0,124,63,105,78,88,104,258,239,85,50,5,41,396,86,29,52,342,45,10.1833623354958,11.8169713623726
420032022003,9942.844741821289,169,0,150,29,272,0,38,110,29,20,80,55,122,185,63,62,12,4,187,63,64,39,184,67,10.558755624037,9.97914129429892
420032814002,10848.103137703576,29,40,923,66,588,0,271,107,127,53,92,145,324,229,183,31,70,167,372,106,84,136,569,121,9.92862634577603,9.37908280288147
420035627002,13626.671574730944,82,42,379,72,853,0,270,218,124,191,152,99,149,280,322,206,25,34,594,92,13,58,531,97,10.8392143622722,14.4903281886388
420030402001,14242.607636664143,84,10,602,34,158,0,300,75,84,16,22,61,218,107,60,94,58,46,241,21,49,30,399,44,10.7123023980815,12.5475874100719
420031702004,14859.131163235368,37,11,77,0,756,0,27,49,42,13,297,10,92,76,227,224,0,0,486,13,0,0,356,39,11.0785299332698,14.0343169685415
420032904004,10754.769230388503,0,11,209,25,665,0,77,114,51,78,118,88,237,211,62,77,13,148,269,53,36,11,301,79,10.448489516129,9.12322965437788
420035624005,11942.8862596475,0,32,197,0,32,0,89,0,0,89,0,41,67,142,11,0,0,0,130,0,0,0,114,17,10.910186466165401,11.623456641604
420030103003,16707.834268304996,40,4,15,0,216,0,67,26,19,18,0,24,55,30,16,36,0,0,97,27,5,14,113,24,10.3228608498584,14.6875130311615
420039801001,11255.93938508807,0,0,0,0,26,0,4,0,0,0,13,0,0,0,13,4,0,9,17,0,0,0,0,0,10.2035,9.80327055555555
420030901002,16183.526118887357,0,26,11,26,400,0,43,60,28,27,82,96,62,63,151,65,0,16,231,8,0,5,175,28,11.4034282242991,12.8572573831776
420033001006,11207.324168958163,0,0,60,9,345,0,28,18,19,26,85,21,206,59,36,9,0,41,175,11,8,5,132,42,10.5501411676647,10.8171833832335
420035616002,11855.824575937599,0,0,0,5,685,0,62,55,43,56,62,100,225,143,47,16,5,41,228,43,0,52,246,90,10.1806722930801,10.0725975712347
420035617001,10529.14946438637,0,0,207,29,87,0,6,38,16,15,9,34,50,55,11,0,10,31,109,0,5,72,84,12,9.9730456937799,9.54143373205742
420035617002,9972.578386975722,0,97,221,20,229,0,62,39,36,31,54,73,197,96,27,4,14,63,175,22,25,45,179,44,10.3303339882122,10.1693102750491
420035616003,10186.281367782265,0,5,318,21,376,0,62,36,57,29,68,73,141,206,40,18,41,25,248,28,0,100,233,45,10.5126146788991,10.3854391743119
